"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
0.000000000E0,6.506191340E1,2.546082840E1,NaN,NaN,NaN,1.000000000E3,0.000000000E0
0.000000000E0,6.506079770E1,2.546569860E1,2.431464197E1,NaN,NaN,1.361100006E1,1.160399079E0
1.954913090E-1,6.506071940E1,2.546585920E1,2.431468992E1,NaN,NaN,1.148099995E1,1.399347425E0
1.362569426E0,6.506071940E1,2.546585920E1,2.431468992E1,NaN,NaN,1.965000153E1,3.033147335E0
2.084749131E1,6.506074590E1,2.546595960E1,2.421469251E1,NaN,NaN,1.112800026E1,1.000000000E0
4.084749131E1,6.506078210E1,2.546675310E1,2.171476735E1,NaN,NaN,2.611599922E1,1.965503693E0
5.216917253E1,6.506064227E1,2.546695186E1,1.264179537E1,6.399999857E-1,1.561999969E2,1.368293762E1,1.654405975E1
5.316917118E1,6.506072176E1,2.546683746E1,2.134518238E1,5.500000119E-1,1.561999969E2,1.344268036E1,1.787394142E1
5.416916998E1,6.506071161E1,2.546688628E1,2.493064094E1,1.800000072E-1,1.561999969E2,9.932808876E0,1.367091560E1
5.516928560E1,6.506072514E1,2.546685372E1,2.221945049E1,1.899999976E-1,1.561999969E2,7.358226776E0,1.053284836E1
5.616940034E1,6.506073897E1,2.546686370E1,2.152779592E1,1.700000018E-1,1.561999969E2,6.163487911E0,8.434291840E0
5.716948123E1,6.506073489E1,2.546683928E1,2.942562190E1,3.899999857E-1,1.561999969E2,5.881931782E0,8.250462532E0
5.816951227E1,6.506067293E1,2.546691450E1,3.082744842E1,2.800000012E-1,1.561999969E2,7.425722599E0,1.097475719E1
5.916956935E1,6.506067291E1,2.546692754E1,3.712505731E1,2.599999905E-1,1.561999969E2,7.228727818E0,1.086904621E1
6.016964420E1,6.506066896E1,2.546695071E1,3.014868201E1,3.100000024E-1,1.561999969E2,6.717733383E0,1.020757198E1
6.116970092E1,6.506070022E1,2.546690269E1,3.870323013E1,0.000000000E0,NaN,7.065124035E0,1.014340496E1
6.216974732E1,6.506070521E1,2.546696904E1,3.560948564E1,2.099999934E-1,1.561999969E2,7.105088234E0,1.042303944E1
6.316890763E1,6.506078157E1,2.546698772E1,3.264730034E1,2.300000042E-1,1.561999969E2,4.643868446E0,1.140741634E1
6.416920378E1,6.506077700E1,2.546698098E1,3.437069001E1,1.599999964E-1,1.561999969E2,4.804165840E0,1.135033035E1
6.516896722E1,6.506077499E1,2.546700892E1,3.224947808E1,3.700000048E-1,1.561999969E2,4.739648342E0,1.076243687E1
6.616908503E1,6.506076527E1,2.546698286E1,2.541665417E1,2.800000012E-1,1.561999969E2,4.584567547E0,7.250402451E0
6.716895774E1,6.506076375E1,2.546699554E1,2.621536222E1,2.000000030E-1,1.561999969E2,4.738866806E0,7.686746120E0
6.816914654E1,6.506077035E1,2.546696969E1,3.315841101E1,2.000000030E-1,1.561999969E2,4.804590225E0,6.873640537E0
6.916897232E1,6.506079109E1,2.546695700E1,3.462806719E1,2.099999934E-1,1.561999969E2,4.918067455E0,5.979556561E0
7.016909904E1,6.506075497E1,2.546693132E1,3.084237256E1,0.000000000E0,NaN,5.209995747E0,1.115190411E1
7.116925039E1,6.506077312E1,2.546699359E1,4.299343460E1,1.899999976E-1,1.561999969E2,4.867183208E0,8.475660324E0
7.216897638E1,6.506076335E1,2.546695127E1,3.840352882E1,8.600000143E-1,1.793000031E2,5.796598434E0,9.366454124E0
7.316922075E1,6.506072090E1,2.546697493E1,3.879490510E1,0.000000000E0,NaN,5.928681850E0,1.030602264E1
7.416939278E1,6.506079410E1,2.546695748E1,4.003333954E1,6.000000238E-1,1.793000031E2,6.199494839E0,1.158537292E1
7.516937872E1,6.506077175E1,2.546694793E1,4.182375228E1,7.699999809E-1,8.600000381E0,6.665399075E0,1.212106895E1
7.616972987E1,6.506087460E1,2.546682674E1,3.559493965E1,9.599999785E-1,3.231000061E2,8.457370758E0,1.435133648E1
7.716897476E1,6.506087551E1,2.546680993E1,4.141109954E1,2.800000012E-1,3.231000061E2,8.143613815E0,1.353842163E1
7.816915336E1,6.506080868E1,2.546696788E1,3.592573015E1,3.000000119E-1,3.231000061E2,7.638415337E0,1.230481815E1
7.916895658E1,6.506084457E1,2.546694275E1,3.715557202E1,2.800000012E-1,3.231000061E2,7.515557766E0,1.137949848E1
8.016892393E1,6.506080743E1,2.546696614E1,3.374524947E1,1.700000018E-1,3.231000061E2,6.121251583E0,8.597140312E0
8.116970455E1,6.506072695E1,2.546693121E1,1.470981490E1,1.599999964E-1,3.231000061E2,7.112169743E0,1.022680378E1
8.216979580E1,6.506085943E1,2.546688531E1,1.988499107E1,4.499999881E-1,3.231000061E2,7.839242458E0,1.133792877E1
8.316961752E1,6.506075479E1,2.546609345E1,-5.269714972E1,0.000000000E0,NaN,7.804704666E0,1.780507469E1
8.367784398E1,6.506077711E1,2.546617022E1,-3.478403323E1,2.500000000E-1,1.960000000E2,5.642004967E0,9.711032867E0
8.467760492E1,6.506079520E1,2.546637175E1,-1.155226714E1,2.300000042E-1,2.295000000E2,5.087775230E0,6.836554050E0
8.567734070E1,6.506079192E1,2.546650904E1,-9.605045946E0,1.899999976E-1,1.466000061E2,4.468300819E0,5.780910015E0
8.667700835E1,6.506077210E1,2.546668011E1,-8.532797406E-1,0.000000000E0,NaN,4.239403248E0,5.080162048E0
8.767703314E1,6.506077796E1,2.546675686E1,6.806011097E-1,3.400000036E-1,7.640000153E1,4.137407780E0,4.704689026E0
8.867789741E1,6.506078326E1,2.546683862E1,6.939824532E0,0.000000000E0,NaN,4.039574623E0,5.400763512E0
8.967700893E1,6.506078905E1,2.546690102E1,1.362104267E1,5.799999833E-1,8.019999695E1,3.817002296E0,4.105745792E0
9.067785721E1,6.506079507E1,2.546694920E1,1.911237877E1,4.799999893E-1,7.069999695E1,3.790092468E0,3.486315250E0
9.167762002E1,6.506079873E1,2.546698528E1,2.101643414E1,1.599999964E-1,3.529999924E1,3.790092468E0,3.102390766E0
9.267734778E1,6.506080045E1,2.546702424E1,2.143617660E1,4.300000072E-1,7.219999695E1,3.790092468E0,3.438804865E0
9.367762736E1,6.506080251E1,2.546707240E1,2.228011431E1,9.599999785E-1,7.700000000E1,3.790092468E0,3.561378717E0
9.467758663E1,6.506079959E1,2.546711463E1,2.258462454E1,1.039999962E0,1.030000000E2,3.790092468E0,3.619019508E0
9.567744965E1,6.506079564E1,2.546715774E1,2.310159864E1,1.309999943E0,1.010999985E2,3.790092468E0,3.598704576E0
9.667730450E1,6.506079219E1,2.546719438E1,2.328708989E1,1.389999986E0,1.019000015E2,3.790092468E0,3.549556255E0
9.767711793E1,6.506078692E1,2.546723481E1,2.380839770E1,1.600000024E0,1.010999985E2,3.790092468E0,3.534168959E0
9.867708725E1,6.506078462E1,2.546727412E1,2.355748744E1,1.659999967E0,9.500000000E1,3.790092468E0,3.296810627E0
9.967787152E1,6.506078304E1,2.546730857E1,2.377911055E1,1.629999995E0,9.419999695E1,3.790092468E0,3.249775648E0
1.006773474E2,6.506078073E1,2.546733758E1,2.331012053E1,1.559999943E0,9.240000153E1,3.790092468E0,3.145989656E0
1.016770643E2,6.506077838E1,2.546735723E1,2.283826083E1,1.139999986E0,9.669999695E1,3.790092468E0,2.990385532E0
